employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
26882,Technology,region_9,Bachelor's,m,other,1,25,2,2,0,81,no_promoted
40761,Operations,region_13,Bachelor's,m,other,1,26,3,2,0,66,no_promoted
25306,Sales & Marketing,region_22,Bachelor's,m,other,4,45,1,7,0,55,no_promoted
51555,Technology,region_16,Bachelor's,m,other,1,28,,1,0,82,no_promoted
65817,Operations,region_31,Master's & above,f,sourcing,1,42,3,4,0,60,no_promoted
31672,Operations,region_6,Bachelor's,m,other,1,28,5,3,0,58,no_promoted
41666,HR,region_13,Master's & above,f,sourcing,1,44,5,9,0,49,no_promoted
32127,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,26,5,5,0,93,promoted
75225,Technology,region_2,Master's & above,m,other,1,40,4,3,0,82,no_promoted
25477,Operations,region_2,Bachelor's,m,sourcing,1,30,3,3,0,64,no_promoted
48695,Sales & Marketing,region_1,Bachelor's,m,sourcing,1,29,5,5,0,52,no_promoted
29102,Analytics,region_7,Bachelor's,m,other,3,30,3,6,0,79,no_promoted
14427,Sales & Marketing,region_2,,f,other,1,23,4,2,0,52,no_promoted
1442,Procurement,region_22,Master's & above,f,other,1,41,5,7,0,68,no_promoted
28750,Operations,region_30,Master's & above,m,other,1,40,2,5,0,54,no_promoted
5237,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,54,4,12,0,47,promoted
1028,Procurement,region_11,Bachelor's,m,other,1,32,3,5,0,72,no_promoted
23943,Technology,region_27,Master's & above,m,sourcing,1,58,2,14,0,87,no_promoted
13071,Procurement,region_7,Bachelor's,m,sourcing,1,31,5,3,0,74,no_promoted
56001,Sales & Marketing,region_21,Bachelor's,m,sourcing,1,30,4,2,0,51,no_promoted
52472,Procurement,region_2,Bachelor's,m,other,1,56,2,16,0,74,no_promoted
11838,Procurement,region_1,Bachelor's,m,other,1,27,3,2,0,71,no_promoted
21817,Operations,region_2,Bachelor's,f,other,1,30,4,6,1,59,promoted
68124,Sales & Marketing,region_13,Master's & above,m,sourcing,1,36,3,4,0,47,no_promoted
37627,Finance,region_2,Bachelor's,m,sourcing,1,50,4,7,0,54,no_promoted
40897,Technology,region_4,Master's & above,m,sourcing,3,34,3,3,0,80,no_promoted
59851,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,25,5,2,0,49,no_promoted
27131,Procurement,region_31,Bachelor's,f,sourcing,3,28,,1,0,70,no_promoted
5024,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,35,3,7,0,55,no_promoted
68686,Sales & Marketing,region_7,,m,other,1,31,5,7,0,48,no_promoted
49378,Analytics,region_16,Bachelor's,m,other,1,42,1,5,0,87,no_promoted
58416,Analytics,region_15,Bachelor's,m,sourcing,1,29,3,7,0,87,no_promoted
8168,Sales & Marketing,region_32,Bachelor's,m,other,1,25,,1,0,53,no_promoted
40223,Operations,region_11,Bachelor's,m,sourcing,1,39,3,9,0,57,no_promoted
20784,Procurement,region_23,Bachelor's,m,other,1,35,3,8,0,71,no_promoted
40459,Analytics,region_27,Bachelor's,m,sourcing,1,33,5,3,0,92,promoted
18095,Technology,region_2,Bachelor's,f,other,1,43,3,2,0,78,no_promoted
34435,Analytics,region_22,,f,sourcing,1,26,3,2,0,87,no_promoted
45227,Procurement,region_7,Master's & above,m,sourcing,1,49,3,8,0,75,no_promoted
29065,Sales & Marketing,region_2,Master's & above,m,other,3,49,3,6,0,49,no_promoted
40933,Operations,region_22,Master's & above,m,other,1,60,5,4,1,60,no_promoted
64196,Sales & Marketing,region_21,Bachelor's,m,other,1,24,,1,0,56,no_promoted
49251,Sales & Marketing,region_13,Bachelor's,m,other,1,38,5,3,0,51,no_promoted
14743,Operations,region_7,Bachelor's,m,other,1,33,3,7,0,,no_promoted
56157,Operations,region_10,Bachelor's,f,sourcing,1,37,3,7,0,60,no_promoted
8986,Procurement,region_13,Bachelor's,m,other,1,40,3,4,0,67,promoted
62660,Analytics,region_22,Bachelor's,m,other,1,28,3,2,0,88,promoted
37193,Procurement,region_22,Bachelor's,m,sourcing,3,29,3,2,0,67,no_promoted
71440,Sales & Marketing,region_7,Master's & above,m,other,1,39,4,15,0,49,no_promoted
5269,Analytics,region_13,Bachelor's,m,sourcing,2,30,1,3,0,79,no_promoted
65897,Sales & Marketing,region_23,Master's & above,m,other,2,34,5,5,0,49,no_promoted
62438,Analytics,region_22,Master's & above,m,sourcing,1,32,2,5,0,85,no_promoted
55508,Sales & Marketing,region_2,Bachelor's,m,other,1,30,5,6,0,,no_promoted
52467,Technology,region_2,Bachelor's,m,other,1,39,4,7,0,80,no_promoted
6678,Sales & Marketing,region_15,Bachelor's,m,other,1,46,4,2,0,53,no_promoted
41544,Sales & Marketing,region_23,Bachelor's,m,other,1,39,3,9,0,51,no_promoted
16005,Sales & Marketing,region_27,Bachelor's,m,other,2,23,,1,0,48,no_promoted
77463,Procurement,region_30,Bachelor's,f,other,1,37,5,8,0,74,no_promoted
44905,Procurement,region_19,Bachelor's,m,sourcing,1,38,5,3,0,70,promoted
48212,Analytics,region_26,,m,other,1,28,,1,0,81,no_promoted
58717,Sales & Marketing,region_12,Master's & above,m,sourcing,1,41,1,3,0,50,no_promoted
2779,Sales & Marketing,region_22,Bachelor's,m,referred,2,29,5,3,0,48,no_promoted
41625,Procurement,region_13,Bachelor's,m,other,2,35,3,3,0,93,promoted
62429,Analytics,region_22,Master's & above,m,sourcing,2,35,3,6,0,93,no_promoted
6102,Analytics,region_1,Bachelor's,m,other,1,32,5,3,0,85,no_promoted
26372,Operations,region_2,Master's & above,m,other,1,50,2,18,0,60,no_promoted
24037,Sales & Marketing,region_19,Bachelor's,m,other,2,41,3,5,0,48,no_promoted
16013,Technology,region_10,Bachelor's,f,other,1,29,4,4,0,82,promoted
55366,Operations,region_16,Master's & above,m,other,1,42,1,6,0,55,no_promoted
244,Operations,region_2,Bachelor's,m,sourcing,1,50,3,25,0,,no_promoted
55815,Operations,region_3,Master's & above,f,other,1,39,5,10,0,,no_promoted
17374,Legal,region_2,Master's & above,m,sourcing,1,39,1,6,0,56,no_promoted
16486,Sales & Marketing,region_32,,m,sourcing,1,30,2,4,0,51,no_promoted
57946,Sales & Marketing,region_2,Master's & above,f,other,2,47,1,9,0,54,no_promoted
57158,Procurement,region_2,Bachelor's,f,other,1,35,3,3,1,69,no_promoted
41157,Operations,region_20,Bachelor's,m,other,2,29,4,7,0,66,no_promoted
41618,Analytics,region_25,Master's & above,m,sourcing,1,34,5,8,0,82,no_promoted
54158,Technology,region_26,Bachelor's,m,other,1,26,5,4,0,78,promoted
72723,Sales & Marketing,region_22,Bachelor's,f,other,1,27,,1,0,49,no_promoted
1103,Sales & Marketing,region_11,,m,other,1,30,4,7,0,50,no_promoted
21595,Analytics,region_22,Bachelor's,m,sourcing,1,29,4,4,0,80,promoted
31067,Sales & Marketing,region_4,Master's & above,m,other,1,40,5,12,0,47,no_promoted
40310,Procurement,region_7,Master's & above,f,sourcing,1,55,5,4,0,69,no_promoted
73213,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,40,5,3,0,51,no_promoted
28951,Operations,region_15,Master's & above,f,other,2,46,5,5,0,57,no_promoted
56017,Operations,region_2,Bachelor's,f,other,1,37,4,10,0,59,no_promoted
22835,Operations,region_2,,f,other,1,41,4,3,0,63,no_promoted
2136,Operations,region_6,Bachelor's,f,sourcing,1,32,5,2,0,64,no_promoted
45303,Sales & Marketing,region_30,Bachelor's,m,other,1,27,1,3,0,51,no_promoted
35397,Sales & Marketing,region_2,Bachelor's,m,other,2,23,1,2,0,48,no_promoted
15697,Procurement,region_17,Bachelor's,f,referred,1,27,,1,1,70,no_promoted
8374,Analytics,region_28,Master's & above,m,sourcing,1,37,5,7,0,90,no_promoted
53471,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,27,3,5,0,48,no_promoted
27412,Sales & Marketing,region_15,Bachelor's,m,other,1,25,,1,0,50,no_promoted
49332,Procurement,region_7,Master's & above,m,other,1,41,3,3,0,67,no_promoted
5800,Technology,region_16,Below Secondary,m,other,1,22,,1,0,81,no_promoted
63903,Sales & Marketing,region_2,Master's & above,m,other,1,54,3,12,0,53,promoted
42828,Analytics,region_13,Bachelor's,m,other,2,29,4,2,0,84,no_promoted
62116,Finance,region_2,Bachelor's,f,other,1,38,5,10,0,,no_promoted
9792,Sales & Marketing,region_30,Bachelor's,m,other,1,33,5,6,0,52,no_promoted
76984,Operations,region_2,Bachelor's,m,sourcing,2,29,4,4,0,59,no_promoted
3430,Analytics,region_2,Master's & above,m,other,1,32,5,10,0,88,no_promoted
21396,Sales & Marketing,region_2,,m,other,1,38,1,4,0,49,no_promoted
59882,Sales & Marketing,region_13,Bachelor's,f,sourcing,1,32,5,2,0,48,no_promoted
32567,Operations,region_2,Master's & above,m,other,1,38,5,6,0,79,promoted
38007,Procurement,region_5,Bachelor's,m,other,1,36,1,9,0,68,no_promoted
62785,Sales & Marketing,region_32,Bachelor's,m,sourcing,1,29,1,4,0,48,no_promoted
54039,Analytics,region_7,Bachelor's,m,other,1,45,5,12,0,85,no_promoted
76628,Legal,region_22,Bachelor's,m,sourcing,1,37,3,7,0,59,no_promoted
47539,Operations,region_13,Bachelor's,m,other,1,50,3,8,0,57,no_promoted
68206,Sales & Marketing,region_33,Bachelor's,m,sourcing,1,29,5,5,0,47,no_promoted
23393,Sales & Marketing,region_9,Master's & above,m,sourcing,1,30,2,7,0,49,no_promoted
32081,Sales & Marketing,region_4,Bachelor's,m,other,1,31,3,2,0,50,no_promoted
64479,Sales & Marketing,region_15,Master's & above,m,sourcing,1,36,1,4,0,48,no_promoted
17096,Operations,region_2,Bachelor's,m,sourcing,4,26,,1,0,59,no_promoted
52772,Technology,region_17,Bachelor's,m,sourcing,1,30,3,6,0,81,promoted
56862,Sales & Marketing,region_29,Bachelor's,m,other,1,39,1,3,0,53,no_promoted
46516,Sales & Marketing,region_2,Master's & above,f,other,1,57,4,30,0,50,no_promoted
27709,Analytics,region_2,Bachelor's,m,sourcing,1,33,3,4,0,82,promoted
6361,Operations,region_15,Bachelor's,m,other,2,37,3,8,0,62,no_promoted
2081,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,31,2,6,0,55,no_promoted
1957,Operations,region_15,Bachelor's,m,sourcing,1,46,5,9,1,89,promoted
38622,Operations,region_7,Bachelor's,f,sourcing,1,31,,1,0,,no_promoted
59582,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,36,3,9,0,51,no_promoted
63888,Finance,region_4,Master's & above,m,other,1,35,4,8,0,63,no_promoted
19930,Sales & Marketing,region_6,Bachelor's,m,other,1,29,1,3,0,51,no_promoted
75759,Operations,region_4,Bachelor's,f,sourcing,1,39,3,5,0,58,promoted
26297,Sales & Marketing,region_6,Bachelor's,m,sourcing,1,35,1,6,0,52,no_promoted
66115,Operations,region_22,Bachelor's,m,sourcing,1,30,3,7,0,55,no_promoted
3227,Sales & Marketing,region_26,Bachelor's,m,other,1,39,5,4,0,50,no_promoted
63700,Analytics,region_4,Bachelor's,m,other,2,30,3,5,0,86,promoted
22076,HR,region_16,Bachelor's,m,other,1,30,3,3,0,55,no_promoted
50263,Analytics,region_8,Bachelor's,m,other,1,28,4,2,0,82,no_promoted
7900,Sales & Marketing,region_2,,m,other,1,49,5,5,0,49,no_promoted
14239,Operations,region_30,Bachelor's,f,sourcing,1,30,5,6,0,60,no_promoted
35530,Technology,region_2,Bachelor's,f,sourcing,1,57,1,29,0,81,no_promoted
62776,Technology,region_1,Master's & above,f,other,2,32,1,6,0,83,no_promoted
58211,Sales & Marketing,region_14,Bachelor's,m,other,1,29,2,5,0,,no_promoted
76474,Operations,region_20,Master's & above,f,other,1,43,3,15,0,59,no_promoted
11845,HR,region_32,Bachelor's,f,sourcing,1,31,3,4,0,49,no_promoted
75144,Sales & Marketing,region_31,Bachelor's,f,other,1,24,,1,0,50,no_promoted
59349,Sales & Marketing,region_2,Master's & above,f,sourcing,1,31,1,3,0,52,no_promoted
74452,Analytics,region_23,Bachelor's,m,other,1,30,4,5,0,82,no_promoted
7061,Procurement,region_20,Master's & above,f,other,1,38,5,3,0,68,no_promoted
13872,Operations,region_15,Bachelor's,m,other,1,30,3,2,0,56,no_promoted
26470,Sales & Marketing,region_20,Bachelor's,m,other,2,35,3,3,0,41,no_promoted
1601,Procurement,region_2,Master's & above,f,other,2,48,3,11,0,69,no_promoted
39444,Technology,region_2,Master's & above,m,referred,2,42,5,12,0,81,no_promoted
41705,Legal,region_2,Bachelor's,m,other,1,38,3,6,1,60,no_promoted
12955,Technology,region_22,Bachelor's,m,other,2,27,4,4,0,79,no_promoted
19986,Technology,region_7,Master's & above,f,sourcing,1,42,5,12,0,77,promoted
61899,Procurement,region_22,Bachelor's,m,other,2,30,1,5,0,67,no_promoted
3823,Procurement,region_13,Bachelor's,m,other,2,34,3,2,0,67,no_promoted
8395,Procurement,region_16,Master's & above,f,sourcing,1,35,3,10,0,67,no_promoted
40320,Analytics,region_13,Bachelor's,m,other,1,26,3,2,0,85,promoted
5613,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,35,5,9,0,50,no_promoted
69246,Operations,region_1,Master's & above,f,other,1,31,4,6,0,59,no_promoted
61621,Operations,region_2,Bachelor's,m,sourcing,1,34,4,5,0,53,no_promoted
6409,Technology,region_15,Bachelor's,m,sourcing,1,24,,1,0,84,no_promoted
18955,Analytics,region_2,Bachelor's,f,sourcing,1,27,4,5,0,86,no_promoted
27771,Operations,region_16,Bachelor's,m,other,1,33,4,7,0,,no_promoted
63452,Finance,region_2,Master's & above,m,sourcing,2,43,3,5,0,,no_promoted
30379,Procurement,region_26,Master's & above,f,other,1,35,3,10,0,67,no_promoted
16071,Technology,region_33,Bachelor's,f,sourcing,1,30,4,5,0,80,no_promoted
11066,Analytics,region_22,Bachelor's,m,other,3,31,3,6,0,86,no_promoted
74622,Technology,region_24,Bachelor's,f,sourcing,1,28,3,3,0,79,no_promoted
68572,Procurement,region_2,Bachelor's,f,referred,1,32,3,8,0,73,no_promoted
71237,Operations,region_2,Bachelor's,m,other,1,48,2,7,0,56,no_promoted
69397,Operations,region_12,Bachelor's,f,sourcing,1,36,3,5,0,57,no_promoted
70995,Analytics,region_2,Bachelor's,m,sourcing,1,27,,1,0,87,no_promoted
57709,Sales & Marketing,region_16,Bachelor's,f,other,1,34,3,3,0,47,no_promoted
23667,Operations,region_2,Bachelor's,m,other,1,31,1,6,0,55,no_promoted
11052,Analytics,region_32,Bachelor's,m,sourcing,2,35,5,8,0,83,no_promoted
77217,Technology,region_24,Bachelor's,m,other,4,32,3,9,0,76,no_promoted
45563,Analytics,region_22,,m,sourcing,1,28,,1,0,86,no_promoted
44786,Procurement,region_17,Bachelor's,f,sourcing,1,35,4,2,0,70,no_promoted
47828,Procurement,region_4,Master's & above,f,sourcing,1,43,4,5,0,66,no_promoted
3852,Sales & Marketing,region_4,Bachelor's,m,other,1,32,3,4,0,49,no_promoted
72446,Procurement,region_20,Bachelor's,m,sourcing,1,28,3,5,0,68,no_promoted
64566,Procurement,region_11,Master's & above,f,other,1,36,5,10,0,70,no_promoted
3602,Technology,region_33,Bachelor's,m,other,1,34,3,3,1,75,promoted
20067,Technology,region_7,Bachelor's,f,sourcing,1,35,3,7,0,89,promoted
9592,Technology,region_22,Master's & above,f,other,2,49,1,3,0,77,no_promoted
43470,Sales & Marketing,region_2,Bachelor's,m,other,1,59,3,4,0,51,promoted
49026,Sales & Marketing,region_16,Bachelor's,m,other,1,29,,1,0,51,no_promoted
20650,Operations,region_31,Bachelor's,m,other,1,36,3,7,0,62,no_promoted
56316,Technology,region_4,Master's & above,m,other,1,42,2,6,0,81,no_promoted
3808,HR,region_27,Bachelor's,m,other,1,32,1,3,0,51,no_promoted
24028,Operations,region_19,Bachelor's,m,other,1,42,4,11,0,59,no_promoted
56972,R&D,region_2,Master's & above,f,sourcing,1,36,3,7,0,90,no_promoted
37566,Procurement,region_26,Bachelor's,f,sourcing,1,47,4,14,0,74,no_promoted
28507,Sales & Marketing,region_7,,m,sourcing,1,36,4,2,0,50,no_promoted
73301,Procurement,region_2,Master's & above,f,sourcing,1,44,5,5,0,74,no_promoted
73741,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,31,4,4,0,46,no_promoted
33263,HR,region_22,Bachelor's,f,other,1,30,4,3,0,50,no_promoted
39286,Analytics,region_31,Master's & above,m,sourcing,1,34,3,3,0,85,no_promoted
44393,Procurement,region_2,Master's & above,f,sourcing,1,39,3,7,0,72,promoted
43567,Operations,region_4,Bachelor's,m,other,1,27,4,2,0,58,no_promoted
39695,Procurement,region_15,Master's & above,m,sourcing,1,43,4,4,0,66,no_promoted
67639,Sales & Marketing,region_31,Bachelor's,m,other,1,29,4,4,0,,no_promoted
77612,Finance,region_2,Bachelor's,f,sourcing,1,45,3,3,0,55,no_promoted
72390,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,36,4,4,0,46,no_promoted
69396,Operations,region_31,Bachelor's,m,other,1,32,5,4,0,59,no_promoted
10214,Procurement,region_17,Bachelor's,m,other,1,41,5,7,1,72,promoted
26933,Operations,region_26,Master's & above,m,sourcing,1,41,3,2,1,58,no_promoted
59301,Operations,region_17,Bachelor's,f,other,1,34,5,9,0,64,no_promoted
11546,Sales & Marketing,region_16,Master's & above,m,sourcing,1,36,4,7,0,48,no_promoted
66937,Technology,region_26,Bachelor's,m,sourcing,1,37,4,2,0,81,no_promoted
34940,Sales & Marketing,region_28,Master's & above,m,other,1,45,3,7,0,46,no_promoted
24452,Analytics,region_22,Bachelor's,m,other,2,27,,1,0,87,no_promoted
77681,Sales & Marketing,region_13,Master's & above,m,other,1,40,3,7,0,46,no_promoted
51979,Procurement,region_2,Bachelor's,f,other,1,37,3,5,0,74,no_promoted
23972,Technology,region_7,Below Secondary,m,sourcing,2,24,3,2,0,82,no_promoted
31656,Sales & Marketing,region_13,Bachelor's,f,other,1,31,4,4,0,48,no_promoted
24084,Sales & Marketing,region_16,,m,other,2,36,3,3,0,54,no_promoted
43281,Sales & Marketing,region_13,Master's & above,m,sourcing,1,34,5,9,0,50,promoted
37831,Analytics,region_7,Master's & above,m,other,1,42,3,5,0,82,promoted
70307,Operations,region_4,Bachelor's,f,other,1,34,5,8,0,60,no_promoted
13205,Technology,region_5,Master's & above,f,sourcing,1,35,3,3,0,74,no_promoted
78220,Sales & Marketing,region_29,Master's & above,m,other,1,38,3,2,0,46,no_promoted
65234,Technology,region_11,Bachelor's,f,sourcing,1,31,3,5,0,79,no_promoted
3458,Operations,region_13,Bachelor's,m,sourcing,3,47,5,4,0,63,no_promoted
48794,Operations,region_8,Bachelor's,m,other,1,38,4,7,0,,no_promoted
23946,Sales & Marketing,region_6,Bachelor's,f,sourcing,1,31,5,3,0,53,no_promoted
7836,Sales & Marketing,region_11,Bachelor's,m,other,1,28,2,2,0,48,no_promoted
15503,Operations,region_22,Bachelor's,f,other,1,36,5,5,0,65,no_promoted
25646,Sales & Marketing,region_4,Bachelor's,m,other,1,49,2,15,0,53,no_promoted
20542,Operations,region_34,Bachelor's,m,other,1,30,5,5,0,60,no_promoted
21420,Finance,region_7,Master's & above,m,other,1,35,3,7,0,62,no_promoted
69802,Operations,region_14,Master's & above,m,other,1,33,4,4,0,59,no_promoted
39190,Sales & Marketing,region_7,Bachelor's,m,other,1,32,2,7,0,47,no_promoted
2120,Sales & Marketing,region_26,Bachelor's,m,other,1,33,2,8,0,49,no_promoted
61176,Analytics,region_2,,m,other,1,29,,1,0,85,no_promoted
19437,Analytics,region_22,Bachelor's,m,sourcing,2,28,5,5,0,83,promoted
55941,Sales & Marketing,region_1,Master's & above,m,sourcing,1,33,1,3,0,49,no_promoted
66936,Operations,region_22,Bachelor's,m,other,2,55,5,18,0,71,promoted
6470,Analytics,region_7,Bachelor's,f,other,2,28,,1,0,85,promoted
12870,Finance,region_23,Master's & above,m,other,2,37,3,4,0,59,no_promoted
61098,HR,region_23,Master's & above,f,sourcing,1,34,4,4,0,54,no_promoted
77874,Technology,region_27,Bachelor's,m,sourcing,1,32,3,9,0,76,no_promoted
73829,Procurement,region_31,Bachelor's,m,other,1,31,4,4,0,71,no_promoted
29592,Operations,region_2,,f,sourcing,1,55,3,8,0,59,no_promoted
5980,Operations,region_15,Bachelor's,m,other,1,40,3,5,0,54,no_promoted
58610,Procurement,region_22,Master's & above,f,other,1,47,3,17,0,67,no_promoted
69706,Sales & Marketing,region_31,Bachelor's,m,other,1,40,1,3,0,56,no_promoted
45010,Technology,region_16,Master's & above,m,sourcing,1,42,3,5,0,81,promoted
8433,Operations,region_22,Master's & above,m,sourcing,1,34,1,7,0,62,no_promoted
3847,Operations,region_31,Bachelor's,f,sourcing,1,30,3,2,0,63,no_promoted
41780,Analytics,region_7,Master's & above,m,other,1,39,3,10,0,87,no_promoted
32300,Technology,region_27,Bachelor's,m,sourcing,2,24,,1,0,77,no_promoted
32098,Operations,region_12,Bachelor's,f,other,1,30,5,5,0,56,no_promoted
59801,Procurement,region_17,Bachelor's,f,other,1,50,3,3,0,65,no_promoted
16405,HR,region_7,Bachelor's,m,sourcing,1,29,3,6,0,54,no_promoted
31308,Sales & Marketing,region_22,Master's & above,f,sourcing,1,31,3,6,0,54,no_promoted
30444,Procurement,region_2,Master's & above,f,sourcing,1,35,4,7,0,73,no_promoted
1116,Operations,region_2,Bachelor's,f,other,1,41,5,7,0,,no_promoted
69680,Sales & Marketing,region_14,,m,other,2,23,3,2,0,51,promoted
53488,Sales & Marketing,region_31,Bachelor's,m,other,2,34,3,8,0,49,no_promoted
58872,Sales & Marketing,region_2,Master's & above,f,sourcing,1,50,5,6,0,52,no_promoted
63740,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,28,3,5,0,54,no_promoted
59759,Procurement,region_30,Bachelor's,m,sourcing,4,27,4,4,0,73,no_promoted
61659,Sales & Marketing,region_23,Master's & above,m,sourcing,1,35,4,8,0,50,no_promoted
24065,Operations,region_15,Bachelor's,m,sourcing,1,49,3,2,0,60,no_promoted
75853,Sales & Marketing,region_22,Bachelor's,f,other,1,33,2,5,0,55,no_promoted
19149,Technology,region_2,Bachelor's,f,other,1,26,5,3,0,79,promoted
68972,Sales & Marketing,region_15,,m,sourcing,1,32,1,4,0,49,no_promoted
12457,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,27,,1,0,50,no_promoted
71508,Technology,region_22,Bachelor's,m,referred,1,28,3,3,0,81,no_promoted
37188,Analytics,region_25,Bachelor's,m,other,2,32,5,6,0,82,no_promoted
29187,Procurement,region_13,Bachelor's,m,other,1,41,4,12,0,70,no_promoted
12783,Technology,region_13,Master's & above,m,other,2,37,2,8,0,82,no_promoted
77224,Procurement,region_2,Master's & above,m,sourcing,1,36,3,8,0,71,no_promoted
68001,Procurement,region_20,Bachelor's,m,other,1,26,3,2,0,69,no_promoted
21978,Sales & Marketing,region_13,Bachelor's,f,sourcing,2,31,1,4,0,51,no_promoted
51299,Procurement,region_30,Master's & above,f,other,1,38,3,10,0,63,no_promoted
51819,Operations,region_2,Bachelor's,f,other,1,31,4,2,0,62,no_promoted
24590,Procurement,region_11,Bachelor's,m,sourcing,1,31,5,4,0,72,no_promoted
55417,Analytics,region_16,Bachelor's,m,other,2,30,3,5,0,89,no_promoted
31100,Procurement,region_21,Bachelor's,m,other,1,29,,1,0,70,no_promoted
46156,Procurement,region_28,Master's & above,m,other,2,34,3,8,0,70,no_promoted
52346,Sales & Marketing,region_17,Bachelor's,m,other,1,27,2,2,0,47,no_promoted
56575,Procurement,region_2,Bachelor's,m,other,4,30,2,2,0,68,no_promoted
68193,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,34,4,3,0,46,no_promoted
71637,Legal,region_7,Master's & above,m,sourcing,1,44,5,4,0,62,no_promoted
13681,Analytics,region_2,,m,other,2,25,,1,0,89,no_promoted
43738,Sales & Marketing,region_2,,f,other,1,20,,1,0,48,no_promoted
43001,Operations,region_2,Master's & above,f,sourcing,1,49,3,6,0,60,no_promoted
36071,Technology,region_7,Bachelor's,f,sourcing,1,37,3,8,0,79,no_promoted
78111,Operations,region_15,Bachelor's,m,other,1,45,5,6,0,53,no_promoted
66767,Technology,region_22,Bachelor's,f,other,1,28,,1,0,80,no_promoted
36774,HR,region_22,Bachelor's,m,other,1,47,4,8,0,48,no_promoted
41361,Procurement,region_12,Bachelor's,f,sourcing,1,32,3,7,0,69,no_promoted
1439,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,50,3,17,0,51,no_promoted
27749,Operations,region_16,Bachelor's,m,other,1,34,5,8,0,60,no_promoted
43772,Operations,region_22,Bachelor's,m,referred,1,28,,1,0,58,no_promoted
25266,Finance,region_2,,m,other,1,39,5,5,0,57,no_promoted
76534,Sales & Marketing,region_27,Master's & above,m,other,1,36,5,9,0,51,no_promoted
65856,Operations,region_30,Bachelor's,m,sourcing,1,27,,1,0,59,no_promoted
50519,Analytics,region_15,Master's & above,m,other,2,30,3,5,0,85,no_promoted
41976,Technology,region_22,Bachelor's,m,other,2,32,3,7,0,81,no_promoted
67702,Operations,region_22,Bachelor's,m,sourcing,3,29,4,4,0,56,promoted
52590,Finance,region_22,,m,other,1,27,3,3,0,58,no_promoted
38212,HR,region_2,Below Secondary,m,other,1,20,3,2,0,,no_promoted
60059,Procurement,region_2,Bachelor's,m,other,1,25,5,3,0,70,no_promoted
5327,HR,region_2,Bachelor's,f,sourcing,1,35,4,10,0,49,no_promoted
47446,Operations,region_26,Bachelor's,m,other,1,50,1,18,0,,no_promoted
5171,Procurement,region_7,Master's & above,f,other,1,41,3,6,0,67,no_promoted
68416,Sales & Marketing,region_28,,m,other,1,28,,1,0,67,promoted
29665,HR,region_2,Master's & above,m,other,1,54,2,23,0,49,no_promoted
3652,Operations,region_21,Master's & above,m,sourcing,2,35,3,7,0,58,no_promoted
60230,Operations,region_19,Bachelor's,m,sourcing,2,38,5,5,0,60,no_promoted
76562,Analytics,region_4,Bachelor's,m,sourcing,1,31,3,9,0,81,no_promoted
45101,Procurement,region_5,Bachelor's,f,other,2,34,4,5,0,68,no_promoted
50262,Procurement,region_2,Bachelor's,f,other,2,26,1,2,0,68,no_promoted
51943,Technology,region_2,Bachelor's,f,other,1,34,4,3,0,79,promoted
70364,Sales & Marketing,region_22,Bachelor's,m,other,1,27,3,2,1,96,promoted
47273,Sales & Marketing,region_2,Bachelor's,f,referred,1,32,4,8,0,63,promoted
10658,Procurement,region_11,Master's & above,f,sourcing,1,34,5,5,0,69,no_promoted
76403,Technology,region_23,Bachelor's,f,sourcing,1,30,,1,0,79,no_promoted
28139,Sales & Marketing,region_27,Master's & above,m,other,1,46,3,4,0,55,no_promoted
60307,Operations,region_19,Bachelor's,m,other,1,41,5,13,0,57,no_promoted
59274,Sales & Marketing,region_27,Bachelor's,f,other,1,38,3,4,0,48,no_promoted
30968,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,30,,1,0,49,no_promoted
2563,Sales & Marketing,region_2,,m,other,1,60,4,6,0,52,no_promoted
31632,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,30,2,4,0,60,promoted
37504,Sales & Marketing,region_28,,m,sourcing,1,29,3,5,0,48,no_promoted
26278,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,22,2,2,0,50,no_promoted
1393,Procurement,region_15,Bachelor's,f,other,1,29,5,5,0,71,promoted
3431,Procurement,region_13,Bachelor's,m,other,3,29,3,3,0,63,no_promoted
26885,Sales & Marketing,region_16,Bachelor's,m,other,1,41,5,3,0,48,promoted
71905,Operations,region_15,Bachelor's,m,sourcing,1,57,3,16,0,,no_promoted
27648,Technology,region_20,Bachelor's,m,sourcing,1,30,,1,0,84,promoted
